"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C13","C0201-C","848.425mil","1061.024mil","848.425mil","1061.024mil","848.425mil","1072.835mil","T","270.00","100nF"
"C12","C0201-C","541.536mil","888.835mil","541.536mil","888.835mil","529.725mil","888.835mil","T","360.00","100nF"
"C11","C0402","751.968mil","1083.661mil","751.968mil","1083.661mil","732.284mil","1083.661mil","T","360.00","DNF"
"C10","C0201-C","795.276mil","1081.693mil","795.276mil","1081.693mil","795.276mil","1093.504mil","T","270.00","100nF"
"C9","C0201-C","545.536mil","801.075mil","545.536mil","801.075mil","533.725mil","801.075mil","T","360.00","100nF"
"C8","C0402","598.536mil","727.075mil","598.536mil","727.075mil","598.536mil","707.39mil","T","90.00","DNF"
"C7","C0201-C","732.536mil","699.075mil","732.536mil","699.075mil","732.536mil","687.264mil","T","90.00","100nF"
"C6","C0201-C","706.536mil","699.075mil","706.536mil","699.075mil","706.536mil","687.264mil","T","90.00","100nF"
"C5","C0201-C","831.536mil","684.075mil","831.536mil","684.075mil","831.536mil","672.264mil","T","90.00","100nF"
"C4","C0201-C","656.496mil","1085.63mil","656.496mil","1085.63mil","644.685mil","1085.63mil","T","360.00","100nF"
"C3","C0201-C","541.536mil","918.835mil","541.536mil","918.835mil","529.725mil","918.835mil","T","360.00","100nF"
"C2","C0201-C","881.536mil","720.075mil","881.536mil","720.075mil","881.536mil","708.264mil","T","90.00","100nF"
"C1","C0201-C","856.536mil","684.075mil","856.536mil","684.075mil","856.536mil","672.264mil","T","90.00","100nF"
"SH1","RF_SH_12P7X13P66","763.536mil","868.575mil","763.536mil","868.575mil","498.575mil","1074.481mil","T","270.00","BMI-S-101"
"L7","L0402","170.276mil","1134.842mil","170.276mil","1134.842mil","170.276mil","1154.842mil","T","270.00","BLM15HG601SN1D"
"C29","C0201-C","889.536mil","883.075mil","889.536mil","883.075mil","901.347mil","883.075mil","T","180.00","12pF"
"C27","C0201-C","889.536mil","857.075mil","889.536mil","857.075mil","901.347mil","857.075mil","T","180.00","12pF"
"U3","QFN48_0P4_6P0X6P0_T","717.339mil","335.5mil","717.339mil","335.5mil","630.725mil","221.327mil","T","0.00","DW1000 IC"
"X2","XTAL_SMD_3.2X1.5MM","410.433mil","1456.693mil","362.205mil","1456.693mil","362.205mil","1456.693mil","T","360.00","32.768KHZ - KCBB"
"U11","SC70-6_0P65_2P15X1P4","303.15mil","763.78mil","303.15mil","763.78mil","259.843mil","789.37mil","T","360.00","SN74LVC1G175"
"U9","VSSOP8_0P5_2P1X2P4","318.898mil","911.417mil","318.898mil","911.417mil","379.921mil","881.89mil","T","90.00","SN74LVC2G00"
"U7","IC_LGA-14","137.796mil","169.292mil","137.796mil","169.292mil","167.323mil","215.06mil","T","270.00","LSM6DSL"
"U6","AQFN50P700X700X85_HS-74N","728.347mil","1342.52mil","728.347mil","1342.52mil","816.93mil","1470.473mil","T","360.00","nRF52840-QIAA"
"U4","IC_LGA-12","124.016mil","348.425mil","124.016mil","348.426mil","94.489mil","318.404mil","T","90.00","LIS2MDL"
"U2","USP-6C","173.229mil","1279.528mil","173.229mil","1279.528mil","134.843mil","1301.182mil","T","360.00","XC9258B18CER-G"
"T2","TRANS4_0P65_2P15X1P4","968.339mil","304.004mil","968.339mil","304.005mil","993.929mil","329.595mil","T","180.00","HHM1595A1"
"SH2","RF_SH_12P7X13P66","764.339mil","302.5mil","764.339mil","302.5mil","499.378mil","508.406mil","T","270.00","BMI-S-101"
"R46","R0201","272.638mil","841.535mil","272.638mil","841.535mil","261.417mil","841.535mil","T","360.00","0R"
"R40","R0201","240.157mil","437.008mil","240.157mil","437.008mil","240.157mil","425.787mil","T","90.00","11K"
"R36","R0201","240.157mil","507.874mil","240.157mil","507.874mil","240.157mil","496.654mil","T","90.00","11K"
"L12","L0603","523.622mil","1491.142mil","523.622mil","1491.142mil","548.228mil","1491.142mil","T","180.00","10uH"
"L8","L0402","126.969mil","1134.842mil","126.969mil","1134.842mil","126.969mil","1154.842mil","T","270.00","BLM15HG601SN1D"
"L4","L0402","258.858mil","1167.323mil","258.858mil","1167.323mil","238.858mil","1167.323mil","T","360.00","BLM15HG601SN1D"
